Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2018-12-07,6613.27,0.0,0.0,0.0,0.0
2018-12-06,6838.85,0.0,0.0,0.0,0.0
2018-12-04,6795.21,0.0,0.0,0.0,0.0
2018-12-03,7062.13,0.0,0.0,0.0,0.0
2018-11-30,6949.01,0.0,0.0,0.0,0.0
2018-11-29,6892.4,0.0,0.0,0.0,0.0
2018-11-28,6913.33,0.0,0.0,0.0,0.0
2018-11-27,6701.04,0.0,0.0,0.0,0.0
2018-11-26,6678.34,0.0,0.0,0.0,0.0
2018-11-23,6527.35,0.0,0.0,0.0,0.0
2018-11-21,6575.66,0.0,0.0,0.0,0.0
2018-11-20,6526.96,0.0,0.0,0.0,0.0
2018-11-19,6642.92,0.0,0.0,0.0,0.0
2018-11-16,6867.02,0.0,0.0,0.0,0.0
2018-11-15,6890.45,0.0,0.0,0.0,0.0
2018-11-14,6769.87,0.0,0.0,0.0,0.0
2018-11-13,6830.91,0.0,0.0,0.0,0.0
2018-11-12,6829.1,0.0,0.0,0.0,0.0
2018-11-09,7039.15,0.0,0.0,0.0,0.0
2018-11-08,7158.59,0.0,0.0,0.0,0.0
2018-11-07,7203.13,0.0,0.0,0.0,0.0
2018-11-06,6988.85,0.0,0.0,0.0,0.0
2018-11-05,6937.09,0.0,0.0,0.0,0.0
2018-11-02,6965.29,0.0,0.0,0.0,0.0
2018-11-01,7069.17,0.0,0.0,0.0,0.0
2018-10-31,6967.1,0.0,0.0,0.0,0.0
2018-10-30,6810.12,0.0,0.0,0.0,0.0
2018-10-29,6713.9,0.0,0.0,0.0,0.0
2018-10-26,6852.4,0.0,0.0,0.0,0.0
2018-10-25,7016.39,0.0,0.0,0.0,0.0
2018-10-24,6789.15,0.0,0.0,0.0,0.0
2018-10-23,7118.67,0.0,0.0,0.0,0.0
2018-10-22,7141.21,0.0,0.0,0.0,0.0
2018-10-19,7107.23,0.0,0.0,0.0,0.0
2018-10-18,7116.09,0.0,0.0,0.0,0.0
2018-10-17,7278.63,0.0,0.0,0.0,0.0
2018-10-16,7276.43,0.0,0.0,0.0,0.0
2018-10-15,7068.67,0.0,0.0,0.0,0.0
2018-10-12,7157.21,0.0,0.0,0.0,0.0
2018-10-11,6964.03,0.0,0.0,0.0,0.0
2018-10-10,7044.5,0.0,0.0,0.0,0.0
2018-10-09,7371.62,0.0,0.0,0.0,0.0
2018-10-08,7352.82,0.0,0.0,0.0,0.0
